Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8/2/2017,22:52:22,0.001,0.01,0.032,0.093,0.021,0.024,0.027,0.049,0.031,0.004,0.009,0.02,0.015,0.002,0.011,0
8/2/2017,23:12:22,0.001,0.01,0.032,0.093,0.021,0.024,0.027,0.049,0.031,0.004,0.009,0.02,0.015,0.002,0.011,0
8/2/2017,23:32:22,0.001,0.01,0.031,0.093,0.021,0.023,0.027,0.049,0.031,0.004,0.009,0.02,0.015,0.002,0.011,0
8/2/2017,23:52:22,0.001,0.01,0.031,0.094,0.021,0.023,0.028,0.049,0.03,0.004,0.009,0.02,0.014,0.002,0.011,0
8/3/2017,0:12:22,0.001,0.01,0.031,0.094,0.021,0.023,0.027,0.049,0.03,0.004,0.009,0.02,0.013,0.002,0.01,0
8/3/2017,0:32:22,0.001,0.01,0.031,0.095,0.021,0.023,0.028,0.049,0.029,0.004,0.009,0.02,0.013,0.002,0.01,0
8/3/2017,0:52:22,0.001,0.01,0.031,0.095,0.02,0.023,0.028,0.049,0.029,0.004,0.009,0.019,0.013,0.002,0.01,0
8/3/2017,1:12:22,0.001,0.009,0.031,0.095,0.02,0.023,0.028,0.048,0.029,0.004,0.009,0.019,0.013,0.002,0.01,0
8/3/2017,1:32:22,0.001,0.009,0.031,0.096,0.02,0.023,0.028,0.048,0.029,0.003,0.009,0.019,0.012,0.002,0.01,0
8/3/2017,1:52:22,0.001,0.009,0.031,0.096,0.02,0.023,0.029,0.048,0.029,0.003,0.008,0.019,0.012,0.002,0.01,0
8/3/2017,2:12:22,0.001,0.009,0.03,0.096,0.02,0.023,0.029,0.048,0.029,0.003,0.009,0.019,0.012,0.002,0.01,0
8/3/2017,2:32:22,0.001,0.009,0.03,0.097,0.02,0.023,0.029,0.048,0.029,0.003,0.009,0.019,0.012,0.002,0.01,0
8/3/2017,2:52:22,0.001,0.009,0.03,0.097,0.02,0.022,0.029,0.048,0.028,0.002,0.008,0.02,0.012,0.002,0.01,0
8/3/2017,3:12:22,0.001,0.009,0.03,0.098,0.02,0.022,0.029,0.048,0.028,0.002,0.008,0.019,0.012,0.002,0.01,0
